DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
7,0,1830,M7,Aerotransportes Mas De Crga,M7,Aerotransportes Mas De Crga,14122,PIT,13252,MEX,626,4
7,1134,2176,WS,Westjet,WS,Westjet,12892,LAX,16271,YYZ,614,4
7,1073,2176,WS,Westjet,WS,Westjet,16271,YYZ,12892,LAX,614,4
7,957,1095,WS,Westjet,WS,Westjet,16271,YYZ,15304,TPA,614,4
7,1157,1095,WS,Westjet,WS,Westjet,15304,TPA,16271,YYZ,614,4
7,1116,2705,WS,Westjet,WS,Westjet,12173,HNL,16229,YVR,838,4
7,1127,1943,WS,Westjet,WS,Westjet,12889,LAS,16271,YYZ,838,4
7,1055,1943,WS,Westjet,WS,Westjet,16271,YYZ,12889,LAS,838,4
7,1079,2705,WS,Westjet,WS,Westjet,16229,YVR,12173,HNL,838,4
7,32,402,14Q,London Air Services Limited,14Q,London Air Services Limited,13964,OTH,16229,YVR,575,5
